,row_no,FIPS,date,rainfall,county_name
345,345,26003,2004-10-01,170.66666666666666,Alger
346,346,26003,2004-11-01,77.56666666666666,Alger
347,347,26003,2004-12-01,93.28,Alger
348,348,26003,2005-01-01,38.58,Alger
349,349,26003,2005-02-01,32.620000000000005,Alger
350,350,26003,2005-03-01,28.34,Alger
351,351,26003,2005-04-01,39.94,Alger
352,352,26003,2005-05-01,51.67999999999999,Alger
353,353,26003,2005-06-01,40.78,Alger
354,354,26003,2005-07-01,76.0,Alger
355,355,26003,2005-08-01,60.36,Alger
356,356,26003,2005-09-01,116.42,Alger
357,357,26003,2005-10-01,98.525,Alger
358,358,26003,2005-11-01,119.2,Alger
359,359,26003,2005-12-01,58.82000000000001,Alger
360,360,26003,2006-01-01,46.260000000000005,Alger
361,361,26003,2006-02-01,58.9,Alger
362,362,26003,2006-03-01,39.8,Alger
363,363,26003,2006-04-01,33.54,Alger
364,364,26003,2006-05-01,129.02,Alger
365,365,26003,2006-06-01,23.9,Alger
366,366,26003,2006-07-01,52.3,Alger
367,367,26003,2006-08-01,93.04,Alger
368,368,26003,2006-09-01,70.03999999999999,Alger
369,369,26003,2006-10-01,84.72,Alger
370,370,26003,2006-11-01,42.975,Alger
371,371,26003,2006-12-01,72.575,Alger
372,372,26003,2007-01-01,62.675,Alger
373,373,26003,2007-02-01,44.925,Alger
374,374,26003,2007-03-01,57.875,Alger
375,375,26003,2007-04-01,86.4,Alger
376,376,26003,2007-05-01,66.375,Alger
377,377,26003,2007-06-01,55.65,Alger
378,378,26003,2007-07-01,38.925,Alger
379,379,26003,2007-08-01,26.575,Alger
380,380,26003,2007-09-01,141.70000000000002,Alger
381,381,26003,2007-10-01,138.275,Alger
382,382,26003,2007-11-01,54.150000000000006,Alger
383,383,26003,2007-12-01,73.175,Alger
384,384,26003,2008-01-01,80.55,Alger
385,385,26003,2008-02-01,52.375,Alger
386,386,26003,2008-03-01,33.3,Alger
387,387,26003,2008-04-01,93.625,Alger
388,388,26003,2008-05-01,62.2,Alger
389,389,26003,2008-06-01,118.075,Alger
390,390,26003,2008-07-01,50.725,Alger
391,391,26003,2008-08-01,24.8,Alger
392,392,26003,2008-09-01,89.95,Alger
393,393,26003,2008-10-01,62.175,Alger
394,394,26003,2008-11-01,102.975,Alger
395,395,26003,2008-12-01,108.625,Alger
396,396,26003,2009-01-01,48.1,Alger
397,397,26003,2009-02-01,71.06666666666666,Alger
398,398,26003,2009-03-01,38.75,Alger
399,399,26003,2009-04-01,60.175,Alger
400,400,26003,2009-05-01,103.5,Alger
401,401,26003,2009-06-01,45.7,Alger
402,402,26003,2009-07-01,81.9,Alger
403,403,26003,2009-08-01,84.975,Alger
404,404,26003,2009-09-01,60.75,Alger
405,405,26003,2009-10-01,147.05,Alger
406,406,26003,2009-11-01,27.22,Alger
407,407,26003,2009-12-01,70.8,Alger
408,408,26003,2010-01-01,48.22,Alger
409,409,26003,2010-02-01,45.24,Alger
410,410,26003,2010-03-01,2.76,Alger
411,411,26003,2010-04-01,22.06,Alger
412,412,26003,2010-05-01,36.6,Alger
413,413,26003,2010-06-01,184.78,Alger
414,414,26003,2010-07-01,136.325,Alger
415,415,26003,2010-08-01,58.67999999999999,Alger
416,416,26003,2010-09-01,215.38,Alger
417,417,26003,2010-10-01,59.260000000000005,Alger
418,418,26003,2010-11-01,74.32000000000001,Alger
419,419,26003,2010-12-01,75.47999999999999,Alger
420,420,26003,2011-01-01,53.74,Alger
421,421,26003,2011-02-01,12.22,Alger
422,422,26003,2011-03-01,31.2,Alger
423,423,26003,2011-04-01,103.0,Alger
424,424,26003,2011-05-01,78.025,Alger
425,425,26003,2011-06-01,93.925,Alger
426,426,26003,2011-07-01,44.625,Alger
427,427,26003,2011-08-01,28.85,Alger
428,428,26003,2011-09-01,128.15,Alger
429,429,26003,2011-10-01,79.44999999999999,Alger
430,430,26003,2011-11-01,91.675,Alger
431,431,26003,2011-12-01,51.3,Alger
432,432,26003,2012-01-01,66.84,Alger
433,433,26003,2012-02-01,22.74,Alger
434,434,26003,2012-03-01,39.6,Alger
435,435,26003,2012-04-01,30.0,Alger
436,436,26003,2012-05-01,56.4,Alger
437,437,26003,2012-06-01,115.05,Alger
438,438,26003,2012-07-01,82.925,Alger
439,439,26003,2012-08-01,41.75,Alger
440,440,26003,2012-09-01,137.675,Alger
441,441,26003,2012-10-01,141.375,Alger
442,442,26003,2012-11-01,58.575,Alger
443,443,26003,2012-12-01,48.260000000000005,Alger
444,444,26003,2013-01-01,69.6,Alger
445,445,26003,2013-02-01,88.1,Alger
446,446,26003,2013-03-01,52.56,Alger
447,447,26003,2013-04-01,99.02,Alger
448,448,26003,2013-05-01,60.525,Alger
449,449,26003,2013-06-01,66.975,Alger
450,450,26003,2013-07-01,121.33333333333331,Alger
451,451,26003,2013-08-01,66.26666666666667,Alger
452,452,26003,2013-09-01,71.22500000000001,Alger
453,453,26003,2013-10-01,82.225,Alger
